content,rating,processed_review
Pengiriman cepat Packaging ok Scentnya sweet,5,kirim cepat packaging ok sweet
"awal semprot smoky banget d ak tp stlh drydown, jd manis bgt.. cocok buat yg suka bau2an manis, tp klo ga suka smoky2an mungkin krg suka openingnya",5,awal semprot smoky banget d ak tp stlh drydown jd manis bgt cocok buat yg suka bau manis tp klo ga suka smokyan mungkin krg suka
"harumnya semerbak banget😅 cocok bgt buat style formal Ala aku.. tapi buat daily 😩 overall wangi, packing nya cantik bgt. thx mini tester kak.. wangi nya enak cocok buat daily aku💜",5,semerbak banget grinningfacewithsweat cocok bgt buat style formal ala aku tapi buat daily wearyface overall wangi packing cantik bgt thx mini tester kak wangi enak cocok buat daily aku purpleheart
Sesuai deskripsi Packing lumayan safety Dapat tester Semoga awet,5,sesuai deskripsi packing lumayan safety dapat tester moga awet
"2 2nyaa okee banget dan wanginya enakk. Cuman agak sedihh aja kok ga dikasih eksklusif box yang bagus ituu 🥲 Tapi gapapa dehh, dikasih bonus slow living sama vialnya musk aura yang ternyataa musk aura tuu enaaak bangett, baunya kayak parfum² orang kaya gitu😍😍 Kayaknyaa soon bakal order yang musk aura xixixi",5,nyaa okee banget dan enakk cuman agak sedihh aja kok ga kasih eksklusif box yang bagus ituu smilingfacewithtear tapi gapapa dehh kasih bonus slow living sama musk aura yang ternyataa musk aura tuu enaaak bangett kayak parfum orang kaya gitu smilingfacewithhearteyes smilingfacewithhearteyes kayaknyaa soon bakal order yang musk aura xixixi
"Seller fast response dan ramah. Pengiriman cepat, suka banget sama wanginya.. cocok buat dipake waktu olahraga. Recommended!",5,seller fast response dan ramah kirim cepat suka banget sama cocok buat dipake waktu olahraga recommended
"Jujur enak bgt wanginya,, jd pengen koleksi yg laen",5,jujur enak bgt jd ken koleksi yg laen
"bintang 5 buat respon penjual,packingan,dan po yg super cepet sampe buat produk nya ya nama nya pertama nyoba ku kira bakal bold tapi ternyata tipis yang nyari spl buas kayanya ga cocok tapi asli bau nya unik ga pasaran",5,bintang buat respon jual packingan dan po yg super cepet sampe buat produk ya nama pertama nyoba ku kira bakal bold tapi nyata tipis yang nyari spl buas ga cocok tapi asli bau unik ga pasar
"pas di spray pertama kali langsung kecium wangi vanilla yang tidak terlalu manis dan ada kesan warm spicy dari pink pepper dan ada kesan woody yang enak, parfum ini cocok digunakan saat ada acara formal atau bekerja seharian di dalam ruangan. untuk di kulit saya sih bisa tahan 7-8 jam.",4,pas di spray pertama kali langsung cium wangi vanilla yang tidak terlalu manis dan ada kesan warm spicy dari pink pepper dan ada kesan woody yang enak parfum ini cocok guna saat ada acara formal atau kerja hari di dalam ruang untuk di kulit saya sih bisa tahan jam
"terbiasa sama parfum wangi manis ketika blind buy bonfire ini ngerasa kaget dan kecewa ternyata ga manis manis banget, kesan pertama ketika di semprot kayak bau tuppereware lama disimpen, tapi lama lama di hidung kecium nya enak kalem ga nyengat lagi,buat yang pertama. kali punya parfum wangi pait pasti bakal kaget sih tapi worth it banget, btw thank you buat gratisan nya",5,biasa sama parfum wangi manis ketika blind buy bonfire ini ngerasa kaget dan kecewa nyata ga manis manis banget kesan pertama ketika di semprot kayak bau tuppereware lama disimpen tapi lama lama di hidung cium enak kalem ga nyengat lagi buat yang pertama kali parfum wangi pait pasti bakal kaget sih tapi worth it banget btw thank you buat gratis
ini botol ke 2 dalam sebulan ini. brand ini emang terkenal gabisa diem. tiap menit dan tiap hembusan bafas selalu rilis parfum baru. tapi meskipun lu rilis parfum baru sekebon juga gw paling cinta sama Varian ini,5,ini botol ke dalam bulan ini brand ini emang kenal gabisa diem tiap menit dan tiap hembus bafas selalu rilis parfum baru tapi meski lu rilis parfum baru kebon juga gw paling cinta sama varian ini
"Terima kasih barangnya sudah diterima dengan keadaan utuh dan baik. jujur first impression pertama kali spray langsung kecium aroma smooky burnt wood, tapi pas selang beberapa waktu kecium wangi lite sweet yang calm pas banget buat dipake outdoor/indoor. untuk ketahanan wanginya termasuk lama kisaran 7-8 jam cocok banget buat parfum tidur jadi bisa wangi semalaman. jadi overall ini parfum ini kan unisex cocok buat dipake tiap acara",4,terima kasih sudah terima dengan ada utuh dan baik jujur first impression pertama kali spray langsung cium aroma smooky burnt wood tapi pas selang beberapa waktu cium wangi lite sweet yang calm pas banget buat dipake outdoorindoor untuk tahan masuk lama kisar jam cocok banget buat parfum tidur jadi bisa wangi malam jadi overall ini parfum ini kan unisex cocok buat dipake tiap acara
"cakep bener kemasannya, baunya enak wangi vannila. untuk openingnya agak sedikit menusuk, tapi afternya vannilanya keluar",5,cakep bener enak wangi vannila untuk agak sedikit tusuk tapi keluar
"produk dikemas dengan rapi dan aman..aroma belum coba,tapi kayaknya enak.dapet tester juga,tapi sayang sama kayak yg lalu juga.",5,produk kemas dengan rapi dan amanaroma belum coba tapi enakdapet tester juga tapi sayang sama kayak yg lalu juga
"cukup nyeglek top notes nya karena spices nya nendang banget wangi pertama seperti clove dan pepper, tapi middle dan dry down nya manis baru keluar vanilla. kompleks tapi enjoyable",5,cukup nyeglek top notes karena spices nendang banget wangi pertama seperti clove dan pepper tapi middle dan dry down manis baru keluar vanilla kompleks tapi enjoyable
"beruntung banget baru 2 hari PO udh langsung dapet barangnya dan prosesnya cepet banget, adminnya juga ramah dan lumayan fastresp banget. untuk wangi parfumnya enak bgt 👍👍",5,untung banget baru hari po udh langsung dapet dan cepet banget juga ramah dan lumayan fastresp banget untuk wangi enak bgt thumbsup thumbsup
kyk bau dupa atau kayu yg terbakar pas pertama kali nyium penasaran sih bau vanillanya gmn,5,kyk bau dupa atau kayu yg bakar pas pertama kali nyium penasaran sih bau gmn
"Wanginya manis tapi tidak over powering, tahan sekitar 4 jam-an. Saya menggunakan parfum ini dilayer dgn parfum lain. Kualitasnya ok punya 👌",5,manis tapi tidak over powering tahan sekitar jaman saya guna parfum ini layer dgn parfum lain ok okhand
"Buat blind buy sedikit terkejut sama baunya karna base note nya belum pernah nyium yang kek gini maklum awam. Tapi overall masih bisa diterima. Next mau nyoba Moroccan Vanilla keknya mirip MM Music Festival. Thank you, Mykonos!",5,buat blind buy sedikit kejut sama karna base note belum pernah nyium yang kek gin maklum awam tapi overall masih bisa terima next mau nyoba moroccan vanilla mirip mm music festival thank you mykonos
"wanginya sangat manis, vanilla dan aroma rempahnya enak, dan tahan lama",5,sangat manis vanilla dan aroma enak dan tahan lama
"Aroma manis, vanila. sepertinya bukan extrait de perfume juga",5,aroma manis vanila bukan extrait de perfume juga
"Blind buy atas rekomendasi admin live chat. dapet bonus tester pink beach yang sebenernya lebih cocok ke wangi perempuan. tapi untuk bonfirenya coba semprot lumayan suka wanginya, cukup strongm mudah mudahan awet wanginya",5,blind buy atas rekomendasi admin live chat dapet bonus tester pink beach yang lebih cocok ke wangi perempuan tapi untuk coba semprot lumayan suka cukup strongm mudah mudah awet
Sesuai dengan deskripsi dan dapat bonus sample. Wanginya enak manis plus tahan lama 👍🏻,5,sesuai dengan deskripsi dan dapat bonus sample enak manis plus tahan lama thumbsuplightskintone
"wanginya enak semua cocok ini buat cowo juga, dan terima kasih juga untuk bonusnya admin🙏",5,enak semua cocok ini buat cowo juga dan terima kasih juga untuk admin foldedhands
Wanginya sangat Vanilla dan dry downnya sangat enak,5,sangat vanilla dan dry sangat enak
"Soft banget wanginya yang ini, giliran semprot si aphrodite langsung ketutup wanginya bonfire. Sayang banget gak dapet freebiesnya padahal dihalaman toko ada keterangannya.",5,soft banget yang ini gilir semprot si aphrodite langsung tutup bonfire sayang banget gak dapet padahal halaman toko ada
"Aroma ke arah sweet vanilla, tapi tidak terlalu manis, dengan sedikit aroma bunga yang unik. Cocok untuk indoor daily scent. Suka dgn aroma saat drydownnya.",5,aroma ke arah sweet vanilla tapi tidak terlalu manis dengan sedikit aroma bunga yang unik cocok untuk indoor daily scent suka dgn aroma saat
"Sampel parfum Dark Secretnya wanginya enak banget dong. Tapi malah tumpah di saku. Dan sewangi itu, parfum cewe tapi oke juga ripakai cowo. Wanginya unisex. Yang vanilla, lumayan. Tapi terlanjur jatuh cinta sama Dark Secret.",5,sampel parfum dark enak banget dong tapi malah tumpah di saku dan wang itu parfum cewe tapi oke juga ripakai cowo unisex yang vanilla lumayan tapi lanjur jatuh cinta sama dark secret
"manis banget, seharian gak ilang wanginya 😍",5,manis banget hari gak ilang smilingfacewithhearteyes
"Wow, parfum ini wangi aealnya manis vanila, lama kelamaan bonfirenya tercium jadi wanginya unik gitu. Suka... Bonusnya yang coxonut. Awalnya coconutty babget, lama kelamaan jadi florla. Beberapa kali beli parfum lokal. Baru kali ini saya suka wanginya. Kemasan juga kerwn babgeeet",5,wow parfum ini wangi manis vanila lama lama cium jadi unik gitu suka yang coxonut coconutty babget lama lama jadi florla beberapa kali beli parfum lokal baru kali ini saya suka kemas juga kerwn babgeeet
Pengiriman ke jakbar total 2 hari.. Wangi di gw tuh ke woody gituu.. Mirip kayu manis (?).. Dikasih bonus edt sama 2 tester gituu.. thanks,5,kirim ke jakbar total hari wangi di gw tuh ke woody gituu mirip kayu manis kasih bonus edt sama tester gituu thanks
Sesuai pesanan ternyata cepat juga saya kira masih PO ternyata lgsng dikirim👍🏼 wanginya juga enak mantap pokoknya,5,sesuai pesan nyata cepat juga saya kira masih po nyata lgsng kirim thumbsupmediumlightskintone juga enak mantap
"2nd order. Arrived faster than P.O as always. First hint was super strong smokey tobacco. After dried down, then sweetness of vanilla starts to pop up. Kinda remind me of TF Tobacco Vanille. So night time and formal usage more suitable. But overall, super worthed it. Fancy scent with super affordable price. Can't wait for the next order to arrive 😉",5,nd order arrived faster than po as always first hint was super strong smokey tobacco after dried down then sweetness of vanilla starts to pop up kinda remind me of tf tobacco vanille so night time and formal usage more suitable but overall super worthed it fancy scent with super affordable price cant wait for the next order to arrive winkingface
semakin jatuh cinta sama produk dari MyKonos karena memang seenak itu wanginya dan juga murah tapi awet.. pengen borong jadinya tuh 😍😍😍,5,makin jatuh cinta sama produk dari mykonos karena memang enak itu dan juga murah tapi awet ken borong tuh smilingfacewithhearteyes smilingfacewithhearteyes smilingfacewithhearteyes
"Mykonos Bonfire Vanilla sudah diterima dalam keadaan baik. Awal spray tercium manis di hidungku, seperti aroma manisan plum China...atau kearah obat merah China, die da yao jing ( tapi tidak sama persis), mungkin krn spicy nya. Tiap orang beda2 hasil sniff nya. Kata anakku aromanya seperti kearah Peru balsam dan caramel. Unik dan enak pokoknya. Lama2 lebih soft. SPL bagus, terutama longevity nya. Test di baju bisa 3 hari masih tercium walau tipis2 tapi masih wangi dan makin enak aromanya. Untukku aromanya cocok di udara dingin, malam hari atau di ruang AC. Dapat bonus varian Blossom. SPL nya bagus.Karena aku suka Jasmine, Tuberose, Ylang2 jadi lebih suka tipe aroma spt ini. Terima kasih utk harga promonya.",5,mykonos bonfire vanilla sudah terima dalam ada baik awal spray cium manis di hidung seperti aroma manis plum china atau arah obat merah china die da yao jing tapi tidak sama persis mungkin krn spicy tiap orang beda hasil sniff kata anak seperti arah peru balsam dan caramel unik dan enak lama lebih soft spl bagus utama longevity test di baju bisa hari masih cium walau tipis tapi masih wangi dan makin enak untuk cocok di udara dingin malam hari atau di ruang ac dapat bonus varian blossom spl baguskarena aku suka jasmine tuberose ylang jadi lebih suka tipe aroma spt ini terima kasih utk harga
"suka wanginya, botol kemasannya keren, referensinya sih tahan lama, saya baru nyoba aromanya ternyata enak",5,suka botol keren sih tahan lama saya baru nyoba nyata enak
"Aroma: ⭐⭐⭐⭐ Projection: ⭐⭐⭐ Longevity: ⭐⭐⭐ (4-6 jam indoor) untuk parfum jenis extrait menurut saya agak kurang kualitasnya, lebih ke eau de parfum",4,aroma star star star star projection star star star longevity star star star jam indoor untuk parfum jenis extrait turut saya agak kurang lebih ke eau de parfum
pengiriman cepat & aman👍🏼 kualitas sangat baik👍🏼,5,kirim cepat aman thumbsupmediumlightskintone kualitas sangat baik thumbsupmediumlightskintone
"aromanya wangi, kompleks, dan projectionnya sangat kuat. aromanya strong aromatic dari rempah rempah dan sentuhan warm, cozy, sexy sangat luar biasa.",5,wangi kompleks dan sangat kuat strong aromatic dari rempah rempah dan sentuh warm cozy sexy sangat luar biasa
"Paket sampai dengan selamat, bubble wrapnya tebel. Dapet bonus vial, tapi gak sesuai request. Overall perfumenya enak mirip² MMM replica by the fireplace",5,paket sampai dengan selamat bubble tebel dapet bonus vial tapi gak sesuai request overall enak mirip mmm replica by the fireplace
pengiriman cepet padahal pas CO PO dulu.. bonfire vanilla wangi rempah2 belom tau lama kelamaan enak apa engga .dpt free tester WHEN IN PARIS wanginya manis,5,kirim cepet padahal pas co po dulu bonfire vanilla wangi rempah bom tau lama lama enak apa engga dpt free tester when in paris manis
"barang sdh sampai sesuai estimasi, packingnya aman 👍🏽 untuk wanginya strong bngt bau rempahnya",5,barang sdh sampai sesuai estimasi aman thumbsupmediumskintone untuk strong bngt bau
"asliiii suka bgt sama wanginya bikin nagih, udh gitu awet bgt. pas aku pake banyak bgt yg nanyain dan puji aku wangi jd aku ksh tau. semoga pd ikutan beli krn happy bgt kalau orang pd suka sama wanginya💜💜 pas beli dapet free lg walaupun yg freenya pecah huhu🥺😭",5,asliiii suka bgt sama bikin nagih udh gitu awet bgt pas aku pake banyak bgt yg nanyain dan puji aku wangi jd aku ksh tau moga pd ikut beli krn happy bgt kalau orang pd suka sama purpleheart purpleheart pas beli dapet free lg walaupun yg pecah huhu pleadingface loudlycryingface
"Enak banget! Warm, smoky, vanilla nya gak enek dan kayaknya cocok jadi base buat di layer sama berbagai parfum.",5,enak banget warm smoky vanilla gak enek dan cocok jadi base buat di layer sama bagai parfum
"Parfumenya wangi sweet vanila dan ada hint smoky and wood, warm spicy, cocok untuk malam hari dan udara dingin, it gives me holiday vibe",5,wangi sweet vanila dan ada hint smoky and wood warm spicy cocok untuk malam hari dan udara dingin it gives me holiday vibe
gila sih bau nya enak banget soft tapi smoky... dapet bonus lagii... thank you... ❤️❤️,5,gila sih bau enak banget soft tapi smoky dapet bonus lagi thank you redheart redheart
"wanginya enak banget. strong.. sesuai dgn keinginanku. beli parfum nya dpt diskon plus ada gratisannya. thx ya Min... sering"" loh kasih hadiah biar jd pelanggan tetap. sukses terus ya bt tokonya. 🤟🤟🤟",5,enak banget strong sesuai dgn ingin beli parfum dpt diskon plus ada thx ya min sering loh kasih hadiah biar jd langgan tetap sukses terus ya bt loveyougesture loveyougesture loveyougesture
"Gue suka banget aromanya, buat ngantor, meeting, harian jg ok. Smooky + vanilla pertama gue, keren! Wajib coba! Thanks",5,gue suka banget buat ngantor meeting hari jg ok smooky vanilla pertama gue keren wajib coba thanks
"sudah sampai dengan selamat, dapat bonus body mist dan sampel. semoga cocok. terima kasih.",5,sudah sampai dengan selamat dapat bonus body mist dan sampel moga cocok terima kasih
"Fast response, beli 2 dpt 4, steal deal sih, wanginya sukakkkk",5,fast response beli dpt steal deal sih sukakkkk
"wangi manis dari rempah2 nya kerasa bgt, jd takut didatengin VOC",5,wangi manis dari rempah rasa bgt jd takut didatengin voc
"Wanginya lama kelamaan enak trus packagingnya cantikk❤️ Aku juga dapet free tester aphrodite & when in paris yg ga kalah enak wanginyaa, sukaa deh pokonyaa",4,lama lama enak trus cantikk redheart aku juga dapet free tester aphrodite when in paris yg ga kalah enak wanginyaa sukaa deh pokonyaa
Wanginya enak banget apalagi kalo udah dried down!! Gak nyesel blind buy varian ini🫶🏻,5,enak banget apalagi kalo udah dried down gak nyesel blind buy varian ini hearthandslightskintone
"barang sudah di terima dg baik, ada bonus nya... kita coba dlu...klu bagus RO lg.. tq mykonos",5,barang sudah di terima dg baik ada bonus kita coba dlu klu bagus ro lg tq mykonos
"Mantap, dikira bakal PO lama, trnyata lngsung dkirim dhri yg sama 🥰",5,mantap kira bakal po lama trnyata lngsung dkirim dhri yg sama smilingfacewithhearts
"Definisi wangi yg comfortable. warm cozy scent, I love it. This parfum is suitable for coldy seasons.",5,definisi wangi yg comfortable warm cozy scent i love it this parfum is suitable for coldy seasons
wanginya enak + seneng dikasi bonus vial sama hand sanitizer ❤️,5,enak neng kasi bonus vial sama hand sanitizer redheart
Thx MYKONOS… all packages are well-delivered.. and also thx for the extra samples,5,thx mykonos all packages are welldelivered and also thx for the extra samples
aroma na enak.. ada bonus sample nya.. thanks,5,aroma na enak ada bonus sample thanks
"Wanginya Enak Lebih Ke Spicy, Dikasih Sample Caramel Juga,Thx.",5,enak lebih ke spicy kasih sample caramel juga thx
Wanginya enak. Makasih banyak atas bonusnya!,5,enak makasih banyak atas
"Orderan kedua, dan dapat bonusan EDT 🎉 Makasih min…",5,order dua dan dapat bonus edt partypopper makasih min
"Pengiriman cepat, enak wanginya",5,kirim cepat enak
mantap mantap mantap mantap mantap mantap,5,mantap mantap mantap mantap mantap mantap
parfum nya tahan lama wangi nya 👍,5,parfum tahan lama wangi thumbsup
Wanginya mantap and dapat tester,5,mantap and dapat tester
nice produk suka sama aroma vanillanya.,5,nice produk suka sama aroma
Semprotan pertama bau alkoholnya agak nyengat. Setelah 5 menit kemudian baru wangi vanilanya keluar,5,semprot pertama bau agak nyengat telah menit kemudian baru wangi keluar
"Baunya awal2 pasti ngerasa aneh, tp setelah agak lama keluar wangi smokey sama burnt caramel gt enak pokoknya ga bikin pusing, aku pake dolche cerry trs dilayer sm bonfire makin mantep wangi cewek kue jahe",5,awal pasti ngerasa aneh tp telah agak lama keluar wangi smokey sama burnt caramel gt enak ga bikin pusing aku pake dolche cerry trs layer sm bonfire makin mantep wangi cewek kue jahe
"cocok digunakan dlm ruang office yang dingin banget, saat lagi hujan deres atau malem hari, sayang dry down nya agak seperti bau vanila generic/parfume murah lainnya.",4,cocok guna dlm ruang office yang dingin banget saat lagi hujan deres atau malem hari sayang dry down agak seperti bau vanila genericparfume murah
"wanginya oke. tapi menurut saya kurang vanilanya, tali tetep enak. Manis aromanya respon seller cepat PO 30 hari hanya prank nih hahaha. ga sampe 5 hari. mantep. Recomended seller",5,oke tapi turut saya kurang tali tetep enak manis respon seller cepat po hari prank nih hahaha ga sampe hari mantep recomended seller
"love the scent top notenya beneran spicy smoky gitu, kalo yang gasuka mungkin bakal nyengat, tapi dry downnya jadi spicy powdery sweet pokoknya enak banget di kulit aku tahan sekitar 5 jam indoor, masih ada wanginya tapi kasat banget harus reapply",5,love the scent top beneran spicy smoky gitu kalo yang gasuka mungkin bakal nyengat tapi dry jadi spicy powdery sweet enak banget di kulit aku tahan sekitar jam indoor masih ada tapi kasat banget harus reapply
"wangi sesuai dengan deskripsi, tahan lama banget, bisa nempel 1-2 hari di baju",5,wangi sesuai dengan deskripsi tahan lama banget bisa nempel hari di baju
"barang original, tp wangi nya saya kurang suka, packaging oke, dan makasih untuk bonus nya🙏",5,barang original tp wangi saya kurang suka packaging oke dan makasih untuk bonus foldedhands
Wangi pertama kalinya kurang suka tapi setelah beberapa menit baru meledak wangi yang disuka 😍,4,wangi pertama kurang suka tapi telah beberapa menit baru ledak wangi yang suka smilingfacewithhearteyes
"Vanilla yang ada gosong-gosongnya, lama kelamaan gosongnya ilang tinggal vanillanya, aman buat harian, ngga nusuk dan ngga mual, tetap ada di situ, ketahanan lumayan bisa diandalkan kalau di dalam ruangan berAC, belum coba kalau panas2an kena matahari. Dapet bonus Musk Aura 3.5ml yang wanginya cocok sama saya cuma stock habis. Oiya walaupun pre-order tapi mungkin karena sedang tidak overload pengiriman langsung dilakukan di hari yang sama. Thanks Mykonos.",5,vanilla yang ada lama lama ilang tinggal aman buat hari ngga nusuk dan ngga mual tetap ada di situ tahan lumayan bisa andal kalau di dalam ruang berac belum coba kalau panas kena matahari dapet bonus musk aura ml yang cocok sama saya cuma stock habis oiya walaupun preorder tapi mungkin karena sedang tidak overload kirim langsung laku di hari yang sama thanks mykonos
Joss kalo dipake malem.. jgn sekali sekali dipake siang bolong asli. Eneg yg nyium aromanya. Pake kalo malem aja oke,5,joss kalo dipake malem jgn sekali sekali dipake siang bolong asli eneg yg nyium pake kalo malem aja oke
bau rempahnya kuat di awal. abis itu aromanya enak,5,bau kuat di awal abis itu enak
Pengiriman secepat kilat wangi nya mantap,5,kirim cepat kilat wangi mantap
"banyak bonus, kualitas bagus...packaging bagus, pengiriman cepat",5,banyak bonus kualitas bagus packaging bagus kirim cepat
"Suka dengan aromanya, tahan lama.",5,suka dengan tahan lama
"Pembelian ke-2. Waktu itu gak PO, sekarang PO tp ok lah PO jg 3 hari usah nyampe. Kualitas parfumnya gak sembarangan sih ini, wenaknya ugal2an. Bonfire ini asli gue sampe merem melek aroma smokynya. Lo laki sejati wajib nyobain. Thanks seller",5,beli ke waktu itu gak po sekarang po tp ok lah po jg hari usah nyampe kualitas gak sembarang sih ini ugalan bonfire ini asli gue sampe merem melek aroma lo laki sejati wajib nyobain thanks seller
"top notesnya kurang suka dan aroma old lady gt agak ganggu, tp base note nya bikin nyaman, dan tahan lama",5,top kurang suka dan aroma old lady gt agak ganggu tp base note bikin nyaman dan tahan lama
"scentnya rada kurang sih menurut gua, spl bomb gila di kulit gua >12 jam, overall ok lah",5,rada kurang sih turut gua spl bomb gila di kulit gua jam overall ok lah
Mantap bonusnya banyak beli parfume disini terus ga yg lain,5,mantap banyak beli parfume sini terus ga yg lain
"Mantap, PO nya cepet dan seller komunikatif",5,mantap po cepet dan seller komunikatif
"beberapa kali beli Mkyonos dan tak pernah kecewa,sejak dari respon penjual,paking super duper aman sampai aroma dan ketahanan aroma parfumnya selalu memuaskan",5,beberapa kali beli mkyonos dan tak pernah kecewa sejak dari respon jual paking super duper aman sampai aroma dan tahan aroma selalu muas
"SPL sakti banget si.. lu pecinta parfume vanilla cobain deh. 10 Jam di kulit gue dalam kondisi ruang ber-AC, mantaap mykonos sukses terus.",5,spl sakti banget si lu cinta parfume vanilla cobain deh jam di kulit gue dalam kondisi ruang berac mantaap mykonos sukses terus
"cocok sama baunya enak wangi, packing aman, respon penjual cepat.",5,cocok sama enak wangi packing aman respon jual cepat
"Warm smoky, ada manisnya juga, menyenangkan, cocok dipakai di malam atau acara resmi. kalau siang agak berat.",5,warm smoky ada juga senang cocok pakai di malam atau acara resmi kalau siang agak berat
"aromanya warm vanilla, kemasannya lucu",5,warm vanilla lucu
"Sebenernya ga ada masalah sama produknya. Cuma pesen tanggal 3 maret, baru dikirim tanggal 4 dan itupun jam 7 malem. Saya pesan pake YES JNE. Udah bayar mahal mahal, Yakin Esok Sampai menjadi pertanyaan YAKIN ESOK SAMPAI? Tentu tidak! Pesan 3 maret 2024 jam 5 pagi, sampenya 6 Maret. 4 hari sejak pesanan dilakukan. Nyesel pake JNE Yes",4,ga ada masalah sama cuma sen tanggal maret baru kirim tanggal dan itu jam malem saya pesan pake yes jne udah bayar mahal mahal yakin esok sampai jadi tanya yakin esok sampai tentu tidak pesan maret jam pagi maret hari sejak pesan laku nyesel pake jne yes
wanginya sesuai ekspektasi... communicative seller. packing rapi sekali. ada bonus pula... terima kasih,5,sesuai ekspektasi communicative seller packing rapi sekali ada bonus pula terima kasih
"FAST respon, wanginya enak, pengiriman cepat!",5,fast respon enak kirim cepat
"muaniss bgt wanginya.. ky popcorn karamel. jd ini tipe gourmand yaa. bukan preferensi aku, tp mama suka. wanginya jg tahan. 9 jam jg msh kecium, tp yg make ga bs nyium kynya.",4,muaniss bgt ky popcorn karamel jd ini tipe gourmand yaa bukan preferensi aku tp mama suka jg tahan jam jg msh cium tp yg make ga bs nyium
"wanginya suka banget enak g bikin pusing,, thanks ka bonusnya,, recommended seller 👍,,,sukses sll🤲",5,suka banget enak g bikin pusing thanks ka recommended seller thumbsup sukses sll palmsuptogether
"packing rapi, barang bagus, pengiriman tepat waktu, wangi enak",5,packing rapi barang bagus kirim tepat waktu wangi enak
Suka scentnya. Mirip margiela by the fireplace. Cocok untuk dipakai malam hari atau indoor ruangan berAC.,5,suka mirip margiela by the fireplace cocok untuk pakai malam hari atau indoor ruang berac
